#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"100,625,493",,"1,105,546                                ",,"98,124,036",,"1,395,911","3,248","300,549","3,302","1,140,115,058","3,405,308","334,805,269 ",North America,,33030,,,"4,169",
2,India,"44,673,379",,"530,620                                ",,"44,136,872",,"5,887",698,"31,759",377,"906,216,019","644,245","1,406,631,776 ",Asia,,"312,6512",,,4,
3,France,"37,846,799",,"158,950                                ",,"36,909,138",,"778,711",869,"577,069","2,424","271,490,188","4,139,547","65,584,518 ",Europe,,24130,,,"11,873",
4,Germany,"36,499,600",,"157,943                                ",,"35,821,900","+37,600","519,757","1,406","435,122","1,883","122,332,384","1,458,359","83,883,596 ",Europe,,25311,,,"6,196",
5,Brazil,"35,304,715",,"689,853                                ",,"34,235,867",,"378,995","8,318","163,938","3,203","63,776,166","296,146","215,353,593 ",South America,,63123,,,"1,760",
6,S. Korea,"27,155,813","+57,079","30,568                                ",+62,"26,163,723","+48,413","961,522",430,"529,045",596,"15,804,065","307,892","51,329,899 ",Asia,,"21,6793","1,112",1,"18,732",
7,Japan,"24,911,367","+118,201","49,826                                ",+182,"20,713,863","+14,326","4,147,678",339,"198,363",397,"81,441,509","648,498","125,584,838 ",Asia,,"52,5202",941,1,"33,027",
8,Italy,"24,260,660",,"181,098                                ",,"23,587,105",,"492,457",250,"402,581","3,005","257,057,363","4,265,608","60,262,770 ",Europe,,23330,,,"8,172",
9,UK,"24,000,101",,"196,821                                ",,"23,741,755","+3,668","61,525",146,"350,377","2,873","522,526,476","7,628,357","68,497,907 ",Europe,,33480,,,898,
10,Russia,"21,597,613","+6,785","392,060                                ",+58,"21,003,575","+5,865","201,978","2,300","148,126","2,689","273,400,000","1,875,095","145,805,947 ",Europe,,73721,47,0.4,"1,385",
11,Turkey,"17,005,537",,"101,400                                ",,"16,904,137",,0,,"198,751","1,185","162,743,369","1,902,052","85,561,976 ",Asia,,58441,,,,
12,Spain,"13,595,504",,"115,901                                ",,"13,382,293",,"97,310",339,"291,005","2,481","471,036,328","10,082,298","46,719,142 ",Europe,,34030,,,"2,083",
